idx,id,order
0,43246b709fc44bf70f6265d80a42017c6b884515,"0,2,1,3"
1,1f48cae554509e71a6a34b2fc1f490c0b0564ca1,"3,2,1,0"
2,5c0512e4e3c2b3dea1eb40e06367b136b7968c1f,"0,2,3,1"
3,953d4b9ce9df6571578a7784f7541c01d6f695e2,"1,3,0,2"
4,c07cd33a257ee817d3cc77ebc48592fc817ea886,"3,2,0,1"
5,cd1277ce7f18f92fb428e03ac30cf9e632fa8567,"0,3,1,2"
6,92458fa8573486214facd07057c2932895bc1c80,"3,1,0,2"
7,b88ed31bf92c19390b6707bd41ab0e485eb7d867,"1,3,0,2"
8,feae53518bfe6e7dd00144b601c98ddca6db3e73,"1,0,2,3"
9,2f443f6ad45cd77cd2302ef78104b46f1d78cc4b,"3,2,1,0"
10,ca3b2dc93f170f06e3a60fe7cd3243d204cc4b75,"0,3,2,1"
11,7eced77ce37489c01e2d82b6ebc3900848ff9fcb,"3,0,1,2"
12,a750c2c231606faf335396954c2c10c82a3b741c,"1,3,2,0"
13,87eda3b4401790d9d1476f7c9c12660dc6c8adf3,"3,2,1,0"
14,7d32cf1e7d8b0940e5d560f8454397f5a93dc1b4,"2,0,1,3"
15,d2c86883150136b6affe3a12aa6bcb7d2388591a,"0,2,3,1"
16,d42a1a7a00c0fd1e60c825510852a53272430924,"0,2,3,1"
17,2fd9d5470c00af32434dfbdbc02cdeba7e162162,"2,3,1,0"
18,5a214c5117ec8b32d076653147711a9d2426fac2,"0,1,2,3"
19,e2ef75518e69947f79acb9202516689b6c869e92,"2,3,1,0"
20,d1c825891b2464e5af6ee3e0940687e551ef95e5,"2,1,0,3"
21,110a3946befd20c33dd7f9073cd8eb432ab807b3,"3,0,2,1"
22,499a124cead7ca656b787038d8cddf98aab0dab5,"0,1,3,2"
23,ef181dab5f3e1ff34eeee1334201d111a6d6498b,"1,0,3,2"
24,ef32ee293f0a184d83be301644abd7c96aa26201,"3,2,0,1"
25,b6b12a45925976c28495e8b08a57210cdf0187a2,"1,0,3,2"
26,7591673bf0c43fff729266f85152a5b299c795e6,"2,3,1,0"
27,b8732349a46a96100b9c90307338082d9f28c6b3,"2,3,0,1"
28,738ab21deb9e3d8d29020a16cbb4df121503ceec,"0,1,3,2"
29,07e9f57459adb2fc41e17ff3ef44e99f72f82067,"3,0,1,2"
30,faa7faaba1584ceb46f7d6adda28d0039d069ff4,"3,2,1,0"
31,177bd2079b6840e13eb67ae342e271bf4d8824af,"0,1,3,2"
32,6cd35d953e91ad9da7fe9d93ae7e419c30269d50,"2,0,1,3"
33,f8fecb07d99b8a9d3fb2de0730cfbd1597377d12,"3,1,2,0"
34,e65a8c05bc04c23ef4ade326ef31db3326eac5e1,"0,1,3,2"
35,d0ae207ac01ba7915ffdae96aa12e6b63c5dd9bd,"0,1,2,3"
36,1a8a12710f5eb1f962f7b196c604584a3bba9d91,"0,1,3,2"
37,99aa7fdbe4c0aac8cc02997b5a028b7773423807,"3,1,2,0"
38,fbecccaa47261466dd566833258c12b4f899bc41,"3,1,0,2"
39,45767f990a34399076e377bc949c09aa18ca16ee,"3,2,1,0"
40,081c05013d058366fbbe732c7d02e504802a40a4,"2,1,0,3"
41,2dbb67ff88d749e84379a9aa45e3f7c404ef5fa8,"3,0,1,2"
42,fc2d95d4b9e149b68bb5718eaa904d839faa6a73,"0,3,1,2"
43,1bcc3faaff8cf93fe14122cbbe252c6d4f57eb83,"0,1,2,3"
44,4a62a71b7db9e00dbd0b31d5434d070069c2b22f,"2,1,0,3"
45,3f7f5a3d0d19d6b8aaa91d9b3c10d7ab2a722873,"1,0,2,3"
46,c5c1e5107af6856ae568de3371ade511ea72a6ab,"2,3,0,1"
47,1208590b2873d3ae6644f8e2ef741d97b5aee45a,"1,2,0,3"
48,417326884e5ec35e711ce3740f1972915a3751e1,"1,2,0,3"
49,f3d8a15c67d9737c42aa43368df1b484c57f6986,"3,2,0,1"
50,5d42bdc710c44c1127f4a82fc80163d1521d3f7a,"2,3,0,1"
51,603b36f646ea47af4c4fb72589db3a8510ac9189,"3,1,0,2"
52,d25d52c434a13c1df5faa593e8a097d2f501a2b6,"2,1,0,3"
53,69566a6719e216f9ee87f7763665fd7a26e2c96d,"0,3,2,1"
54,3bfe27dc86f0424787f32deb16df09a902c6a8e6,"0,2,3,1"
55,3b802ca599f267c9fd02b4c226c42e2c607cf089,"3,0,2,1"
56,cac5fa8f634b590fa59788074a0a1bb430b131ce,"2,3,1,0"
57,7a72d267603be3be1abd3ce25c680502d51121b0,"2,0,1,3"
58,ded3b30da1e932531ffc36760236431cc7ea61c4,"1,3,2,0"
59,a396e698f80b68e0392dfa6d66ce0731940375f3,"2,1,3,0"
60,ad667dee62fc2dfb077bb833f729950313bf0c47,"1,3,0,2"
61,1a2f81be8fcf453038e732ed7184730bea605f65,"3,1,2,0"
62,5faeb0deba46846c779a59694af4ea1110374f95,"2,0,3,1"
63,c084f004f9001be13a4f2d836fa48165fa896b5c,"0,1,3,2"
64,63c81e1dfdf33d73c1d00b2e3397cdd46d7b3fa9,"1,0,2,3"
65,878cdee7f0c3d14d5676a8ef93995713aa0813ca,"1,2,3,0"
66,132e50805378d42b2996fdd648d1da78c60d235d,"1,3,2,0"
67,00220ec77d4406741f9c017c07839ef2e76b3eab,"0,2,3,1"
68,4e9c1abfc8a03f6afbcdb80b418541122d8b8846,"3,2,1,0"
69,201e23126e1529feacf1c1954fee6ad184797645,"3,0,1,2"
